gene_name	synonyms	ecocyc_accession	common_name	position_min	summary	gene_product	b_number

Comment from ASAP: The coordinates of the ygeF pseudogene have been changed from those reported in the GenBank entry (GBAN:U00096.2) to correspond to the region of similarity to Escherichia coli EDL933 (ASAP:ABH-0027842), adding 43 nucleotides to the C-terminus.	G7470-MONOMER	b2850
EG11157		ECK2838	ygeA	64.20005		EG11157-MONOMER	b2840
G0-10601		ECK4419	ygdT	63.971405		MONOMER0-2825	b4610
G7461		ECK2829	ygdR	64.01322		G7461-MONOMER	b2833
G7460		ECK2828	ygdQ	63.994892		G7460-MONOMER	b2832
G7453		ECK2805	ygdI	63.402386		G7453-MONOMER	b2809
EG12372	xni // exo	ECK2793	ygdG	63.146805		EG12372-MONOMER	b2798
EG11793		ECK2802	ygdD	63.366146		EG11793-MONOMER	b2807
EG11155		ECK2820	ygdB	63.829624		EG11155-MONOMER	b2824
G7440		ECK2768	ygcW	62.466724		G7440-MONOMER	b2774
G7439	ygcT // b2772 // ygcV // b2773	ECK2767	ygcU	62.43389		G7439-MONOMER	b4463
G7437		ECK2766	ygcS	62.403065		B2771-MONOMER	b2771
G7436		ECK2765	ygcR	62.38675		G7436-MONOMER	b2770
G7435		ECK2764	ygcQ	62.36829		G7435-MONOMER	b2769
G7434		ECK2763	ygcP	62.35272		G7434-MONOMER	b2768
G7433		ECK2762	ygcO	62.346745		G7433-MONOMER	b2767
G7432		ECK2761	ygcN	62.319557		G7432-MONOMER	b2766
G7444		ECK2772	ygcG	62.600792		G7444-MONOMER	b2778
G7442		ECK2770	ygcE	62.518604		G7442-MONOMER	b2776
G7421		ECK2735	ygbN	61.72589		B2740-MONOMER	b2740
G7420		ECK2734	ygbM	61.707253		G7420-MONOMER	b2739
G7419		ECK2733	ygbL	61.6934		G7419-MONOMER	b2738
G7418		ECK2732	ygbK	61.666298		G7418-MONOMER	b2737
G7417		ECK2731	ygbJ	61.6468		G7417-MONOMER	b2736
G7416		ECK2730	ygbI	61.626053		G7416-MONOMER	b2735
EG12707		ECK2744	ygbE	61.896366		EG12707-MONOMER	b2749
EG11287		ECK2727	ygbA	61.539577		EG11287-MONOMER	b2732
G7405		ECK2676	ygaZ	60.530537		G7405-MONOMER	b2682
G7403	ygaX // b2680 // ECK2675	ECK2674	ygaY	60.50251		YGAY-MONOMER	b2681
G7397		ECK2661	ygaV	60.263264		G7397-MONOMER	b2667
G7389	G7393 // yqaD // G7392 // G7391 // ygaR // b2656 // b2655 // yqaC // b2654 // b2657 // b2658	ECK2649	ygaQ	60.03029	<i>ygaQ_1, ygaQ_2, ygaQ_3</i> and <i>ygaQ_4</i> may be fragments of a pseudogene |CITS: [12234664]|. A full length gene is found in <i>E. coli</i> SMS-3-5, <i>E. coli</i> IAI39 and others and encodes a protein belonging to the alpha amylase family.	G7389-MONOMER	b4462
G7398		ECK2662	ygaP	60.26992		G7398-MONOMER	b2668
G7400		ECK2666	ygaM	60.3265		B0899-MONOMER	b2672
G7406		ECK2677	ygaH	60.5462		G7406-MONOMER	b2683
EG12201		ECK2665	ygaC	60.31581		EG12201-MONOMER	b2671
G7380		ECK2642	yfjZ	59.830315		G7380-MONOMER	b2645
G7379		ECK2640	yfjY	59.81461		G7379-MONOMER	b2644
G7378		ECK2639	yfjX	59.804546		G7378-MONOMER	b2643
G7377		ECK2638	yfjW	59.748512		G7377-MONOMER	b2642
G7376	ypjM // ypjL // ECK2637 // ECK2636 // b2640 // b2639	ECK2635	yfjV	59.723717	<i>ypjM_1, ypjM_2</i> and <i>ypjM_3</i> are fragments of a predicted pseudogene in <i>E. coli </i>K-12. They show homology to the C-terminal portion of the <i>arsB</i> arsenate transporter.

Expression of <i>ypjL</i> (<i>ypjM_3</i>) was reduced by autoclaved stationary-phase supernatant |CITS: [15066794]|.	G7376-MONOMER	b2641
G7373		ECK2634	yfjU	59.71667		G7373-MONOMER	b2638
G7372		ECK2633	yfjT	59.70176		G7372-MONOMER	b2637
G7371		ECK2632	yfjS	59.691696		G7371-MONOMER	b2636
G7369		ECK2630	yfjR	59.67063		G7369-MONOMER	b2634
G7368		ECK2629	yfjQ	59.64827		G7368-MONOMER	b2633
G7367		ECK2628	yfjP	59.627693		G7367-MONOMER	b2632
G7364		ECK2625	yfjM	59.58036		G7364-MONOMER	b2629
G7361		ECK2622	yfjJ	59.473373		G7361-MONOMER	b2626
G7360		ECK2621	yfjI	59.43972		G7360-MONOMER	b2625
G7359		ECK2619	yfjH	59.410828		G7359-MONOMER	b2623
G7357	ratB	ECK2614	yfjF	59.332497		G7357-MONOMER	b2618
EG12442	b2612 // ypjE // b2613	ECK2609	yfjD	59.219734		G7356-MONOMER	b4461
G0-17029		ECK4639	yfiS	58.727474		MONOMER0-4495	b4783
G7354		ECK2600	yfiR	59.0711		G7354-MONOMER	b2603
EG12857		ECK2584	yfiM	58.68876		EG12857-MONOMER	b2586
EG12446		ECK2599	yfiL	59.06001		EG12446-MONOMER	b2602
EG11786		ECK2579	yfiF	58.545773		EG11786-MONOMER	b2581
EG11785		ECK2575	yfiE	58.48002		EG11785-MONOMER	b2577
EG11538	trmM	ECK2573	yfiC	58.428055		EG11538-MONOMER	b2575
EG11152		ECK2602	yfiB	59.108807		EG11152-MONOMER	b2605
G7328		ECK2531	yfhR	57.40176		G7328-MONOMER	b2534
G7323		ECK2516	yfhM	57.034134		G7323-MONOMER	b2520
G7346		ECK2560	yfhL	58.161682		G7346-MONOMER	b2562
EG12308		ECK2559	yfhH	58.14221		EG12308-MONOMER	b2561
G7310	perM	ECK2489	yfgO	56.33382		G7310-MONOMER	b2493
G7321		ECK2509	yfgM	56.847496		G7321-MONOMER	b2513
G7318		ECK2506	yfgJ	56.78149		G7318-MONOMER	b2510
G7317		ECK2502	yfgI	56.66788		G7317-MONOMER	b2506
G7316		ECK2501	yfgH	56.65638		G7316-MONOMER	b2505
G7315		ECK2500	yfgG	56.645565		G7315-MONOMER	b2504
G7312		ECK2491	yfgD	56.39324		G7312-MONOMER	b2495
G7280		ECK2445	yffS	55.25022		G7280-MONOMER	b2450
G7279		ECK2444	yffR	55.23852		G7279-MONOMER	b2449
G7278		ECK2443	yffQ	55.230164		G7278-MONOMER	b2448
G7277		ECK2442	yffP	55.207157		G7277-MONOMER	b2447
G7276		ECK2441	yffO	55.198257		G7276-MONOMER	b2446
G7275		ECK2440	yffN	55.187786		G7275-MONOMER	b2445
G7274		ECK2439	yffM	55.182247		G7274-MONOMER	b2444
G7273		ECK2438	yffL	55.158318		G7273-MONOMER	b2443
EG11147		ECK2466	yffB	55.825966		EG11147-MONOMER	b2471
G7268		ECK2428	yfeZ	54.964848		G7268-MONOMER	b2433
G7267		ECK2427	yfeY	54.95115		G7267-MONOMER	b2432
G7266		ECK2426	yfeX	54.92971		G7266-MONOMER	b2431
G7265		ECK2425	yfeW	54.896442		G7265-MONOMER	b2430
G7261		ECK2415	yfeS	54.673405		G7261-MONOMER	b2420
G7257		ECK2403	yfeR	54.418774		G7257-MONOMER	b2409
G7251		ECK2385	yfeO	54.067604		G7251-MONOMER	b2389
G7256		ECK2402	yfeN	54.40147		G7256-MONOMER	b2408
G7260		ECK2414	yfeK	54.66463		G7260-MONOMER	b2419
EG12376		ECK2404	yfeH	54.44066		EG12376-MONOMER	b2410
EG11432		ECK2393	yfeD	54.265446		EG11432-MONOMER	b2399
EG11431		ECK2392	yfeC	54.257988		EG11431-MONOMER	b2398
G7240		ECK2373	yfdY	53.75349		G7240-MONOMER	b2377
G7238		ECK2371	yfdX	53.72585		G7238-MONOMER	b2375
G7235		ECK2368	yfdV	53.62836		B2372-MONOMER	b2372
G7232		ECK2357	yfdT	53.34034		G7232-MONOMER	b2363
G7231		ECK2356	yfdS	53.332542		G7231-MONOMER	b2362
G7230		ECK2355	yfdR	53.32119		G7230-MONOMER	b2361
G7229		ECK2354	yfdQ	53.30068		G7229-MONOMER	b2360
G7228		ECK2353	yfdP	53.29146		G7228-MONOMER	b2359
G7227	oweS	ECK2352	yfdO	53.275818		G7227-MONOMER	b2358
G7226	yzyA	ECK2351	yfdN	53.265236		G7226-MONOMER	b2357
G7225	yzyB	ECK2350	yfdM	53.25931		G7225-MONOMER	b2356
G7224		ECK2349	yfdL	53.247078		G7224-MONOMER	b2355
G7223		ECK2348	yfdK	53.237015		G7223-MONOMER	b2354
G7221	gtrS // gtrIV	ECK2346	yfdI	53.195087		G7221-MONOMER	b2352
G7220	gtrB	ECK2345	yfdH	53.175335		G7220-MONOMER	b2351
G7219	gtrA	ECK2344	yfdG	53.1676		G7219-MONOMER	b2350
G7215		ECK2339	yfdF	53.063263		G7215-MONOMER	b2345
G7234		ECK2367	yfdE	53.6021		G7234-MONOMER	b2371
G7217		ECK2341	yfdC	53.11258		G7217-MONOMER	b2347
G7214		ECK2337	yfcZ	53.01238		G7214-MONOMER	b2343
G7210		ECK2333	yfcV	52.89244		G7210-MONOMER	b2339
G7209	ECK2331 // yfcT // b2338 // b2337	ECK2332	yfcU	52.833687		G7209-MONOMER	b4661
G7207		ECK2330	yfcS	52.81706		G7207-MONOMER	b2336
G7206		ECK2329	yfcR	52.806026		G7206-MONOMER	b2335
G7205		ECK2328	yfcQ	52.795578		G7205-MONOMER	b2334
G7204		ECK2327	yfcP	52.78403		G7204-MONOMER	b2333
G7203		ECK2326	yfcO	52.7663		G7203-MONOMER	b2332
G7200		ECK2319	yfcL	52.65132		G7200-MONOMER	b2325
G7198		ECK2316	yfcJ	52.544697		B2322-MONOMER	b2322
G7196		ECK2298	yfcH	52.173405		G7196-MONOMER	b2304
G7194		ECK2296	yfcG	52.149986		G7194-MONOMER	b2302
G7193		ECK2295	yfcF	52.133186		G7193-MONOMER	b2301
G7192		ECK2294	yfcE	52.120106		G7192-MONOMER	b2300
G7191		ECK2293	yfcD	52.107178		G7191-MONOMER	b2299
G7190		ECK2292	yfcC	52.073723		G7190-MONOMER	b2298
EG11144		ECK2321	yfcA	52.669846		EG11144-MONOMER	b2327
G7189		ECK2289	yfbV	51.978844		G7189-MONOMER	b2295
G7188		ECK2288	yfbU	51.96641		G7188-MONOMER	b2294
G7186		ECK2286	yfbS	51.910828		G7186-MONOMER	b2292
G7185		ECK2285	yfbR	51.89665		G7185-MONOMER	b2291
G7182		ECK2269	yfbP	51.471245		G7182-MONOMER	b2275
G7181		ECK2268	yfbO	51.46088		G7181-MONOMER	b2274
G7180		ECK2267	yfbN	51.440956		G7180-MONOMER	b2273
G7179		ECK2266	yfbM	51.424236		G7179-MONOMER	b2272
G7178		ECK2265	yfbL	51.401096		G7178-MONOMER	b2271
G7177		ECK2264	yfbK	51.360916		G7177-MONOMER	b2270
G7163		ECK2243	yfaZ	50.92439		G7163-MONOMER	b2250
G7162		ECK2242	yfaY	50.89634		G7162-MONOMER	b2249
G7161		ECK2241	yfaX	50.874752		G7161-MONOMER	b2248
G7159		ECK2239	yfaV	50.81947		B2246-MONOMER	b2246
G7158		ECK2238	yfaU	50.801785		G7158-MONOMER	b2245
G7156		ECK2221	yfaT	50.29106		G7156-MONOMER	b2229
G7155	yfaR // b2228 // b2227	ECK2220	yfaS	50.19329		G7155-MONOMER	b4500
G7153		ECK2219	yfaQ	50.157745		G7153-MONOMER	b2226
G7152		ECK2218	yfaP	50.14092		G7152-MONOMER	b2225
EG12850	yfaF // yfaK // yfaJ	ECK2225	yfaL	50.422073		EG12850-MONOMER	b2233
EG12881		ECK2230	yfaH	50.621784		EG12881-MONOMER	b2238
EG12360		ECK2228	yfaE	50.59651		EG12360-MONOMER	b2236
EG11142	pufY	ECK2222	yfaA	50.30442		EG11142-MONOMER	b2230
EG12051		ECK2184	yejO	49.25811	Comment in ASAP: The coordinates of the yejO pseudogene have been changed from those reported in the GenBank entry (GBAN:U00096.2) to correspond to the region of similarity to Escherichia coli EDL933 (ASAP:ABH-0027167) and to the prediction in EcoGene (EG12051). A four nucleotide direct repeat has been included in the coordinates at the end of the N-terminal fragment and not at the start of the C-terminal fragment.	EG12051-MONOMER	b2190
EG12049	yejN // pbgA	ECK2182	yejM	49.21472		EG12049-MONOMER	b2188
EG12043		ECK2181	yejL	49.209396		EG12043-MONOMER	b2187
EG12048	ndpA	ECK2180	yejK	49.183784		EG12048-MONOMER	b2186
EG12042		ECK2175	yejG	49.07505		EG12042-MONOMER	b2181
EG12041		ECK2174	yejF	49.04073		YEJF-MONOMER	b2180
EG12040		ECK2173	yejE	49.018604		YEJE-MONOMER	b2179
EG12038		ECK2172	yejB	48.995037		YEJB-MONOMER	b2178
EG12037		ECK2171	yejA	48.955933		YEJA-MONOMER	b2177
G0-10511		ECK2164	yeiW	48.798164		MONOMER0-2726	b4502
G7144		ECK2138	yeiS	48.1208		G7144-MONOMER	b2145
EG12104		ECK2167	yeiR	48.858227		EG12104-MONOMER	b2173
EG12036		ECK2166	yeiQ	48.824104		EG12036-MONOMER	b2172
EG12035		ECK2165	yeiP	48.806976		EG12035-MONOMER	b2171
EG12031		ECK2156	yeiL	48.58949		EG12031-MONOMER	b2163
EG12028		ECK2153	yeiI	48.510746		EG12028-MONOMER	b2160
EG12027		ECK2151	yeiH	48.468025		EG12027-MONOMER	b2158
EG12026		ECK2147	yeiG	48.342915		EG12026-MONOMER	b2154
EG12105		ECK2150	yeiE	48.44691		EG12105-MONOMER	b2157
EG11290		ECK2145	yeiB	48.297676		EG11290-MONOMER	b2152
EG12011		ECK2123	yehY	47.771786		YEHY-MONOMER	b2130
EG12010		ECK2122	yehX	47.751987		YEHX-MONOMER	b2129
EG12009		ECK2121	yehW	47.73613		YEHW-MONOMER	b2128
EG12005		ECK2116	yehS	47.649544		EG12005-MONOMER	b2124
EG12004		ECK2115	yehR	47.63875		EG12004-MONOMER	b2123
EG12003		ECK2114	yehQ	47.592968		EG12003-MONOMER	b2122
EG12002		ECK2113	yehP	47.568558		EG12002-MONOMER	b2121
EG11999	yehO // yehN	ECK2112	yehM	47.51961		EG11999-MONOMER	b2120
EG11998		ECK2111	yehL	47.495934		EG11998-MONOMER	b2119
G0-10458		ECK2110	yehK	47.48249		MONOMER0-2680	b4541
EG11995		ECK2109	yehI	47.40293		EG11995-MONOMER	b2118
G8208	molR // b2116 // yehG // b2117	ECK2108	yehH	47.34112			b4499
EG11992	molR_1 // sosF // dinO	ECK2108	yehF	47.320953		EG11992-MONOMER	b2115
EG11991		ECK2105	yehE	47.23566		EG11991-MONOMER	b2112
EG11990		ECK2104	yehD	47.217674		EG11990-MONOMER	b2111
EG11989		ECK2103	yehC	47.201427		EG11989-MONOMER	b2110
EG11988		ECK2102	yehB	47.14765		EG11988-MONOMER	b2109
EG11987		ECK2101	yehA	47.125034		EG11987-MONOMER	b2108
G7120		ECK2080	yegZ	46.698933		G7120-MONOMER	b2083
G7134		ECK2095	yegX	47.027073		G7134-MONOMER	b2102
G7133		ECK2094	yegW	47.00988		G7133-MONOMER	b2101
G7132		ECK2093	yegV	46.98965		G7132-MONOMER	b2100
G7131		ECK2092	yegU	46.968086		G7131-MONOMER	b2099
G7130		ECK2091	yegT	46.940636		B2098-MONOMER	b2098
G7123		ECK2082	yegS	46.722847		G7123-MONOMER	b2086
G7122		ECK2081	yegR	46.70727		G7122-MONOMER	b2085
G7117		ECK2076	yegP	46.646946		G7117-MONOMER	b2080
G7112		ECK2067	yegL	46.37291		G7112-MONOMER	b2073
G7110		ECK2065	yegJ	46.345245		G7110-MONOMER	b2071
G7109		ECK2064	yegI	46.29901		G7109-MONOMER	b2070
G7108		ECK2057	yegH	46.059074		G7108-MONOMER	b2063
EG12200		ECK2063	yegD	46.269604		EG12200-MONOMER	b2069
EG12844		ECK2012	yefM	45.01548		EG12844-MONOMER	b2017
G7089		ECK2010	yeeZ	44.990532		G7089-MONOMER	b2016
G7088		ECK2009	yeeY	44.96953		G7088-MONOMER	b2015
G7087		ECK2001	yeeX	44.79078		G7087-MONOMER	b2007
G7086		ECK1999	yeeW	44.76725		G7086-MONOMER	b2006
G7083		ECK1996	yeeT	44.743057		G7083-MONOMER	b2003
G7082		ECK1995	yeeS	44.73209		G7082-MONOMER	b2002
G7081		ECK1994	yeeR	44.69915		G7081-MONOMER	b2001
G7079		ECK1991	yeeP	44.613125		G7079-MONOMER	b1999
G7070		ECK1980	yeeO	44.342033		YEEO-MONOMER	b1985
G7068		ECK1978	yeeN	44.313057		G7068-MONOMER	b1983
G7066	yeeK // b1980 // b1979	ECK1975	yeeL	44.214344		G7066-MONOMER	b4497
G7064		ECK1974	yeeJ	44.056255		G7064-MONOMER	b1978
G0-16658		ECK4437	yeeH	44.51148	Comment in EcoGene: "Pseudogene, internal fragment.  Defective remnant in ISW."		b4639
EG11895		ECK2007	yeeE	44.907867		EG11895-MONOMER	b2013
EG11894		ECK2006	yeeD	44.902676		EG11894-MONOMER	b2012
EG11891		ECK2002	yeeA	44.80157		EG11891-MONOMER	b2008
G7052	b1964 // yedT // b1965 // b1966	ECK1962	yedS	43.821705		G7052-MONOMER	b4496
G7048		ECK1953	yedP	43.63772		G7048-MONOMER	b1955
G7043	b1934 // yedM // b1935 // ECK1933 // b1933	ECK1932	yedN	43.3299		G7043-MONOMER	b4495
G7040		ECK1931	yedL	43.316475		G7040-MONOMER	b1932
EG11662	yedG	ECK1930	yedK	43.299694		EG11662-MONOMER	b1931
EG12710		ECK1960	yedJ	43.78579		EG12710-MONOMER	b1962
EG12709		ECK1956	yedI	43.701015		EG12709-MONOMER	b1958
EG11661		ECK1929	yedF	43.292324		EG11661-MONOMER	b1930
EG11660		ECK1928	yedE	43.266426		EG11660-MONOMER	b1929
EG11659		ECK1927	yedD	43.2535		EG11659-MONOMER	b1928
EG11141		ECK1957	yedA	43.7245		EG11141-MONOMER	b1959
G0-17024		ECK4635	yecV	42.265923		MONOMER0-4490	b4778
G0-16746		ECK4609	yecU	42.9945		MONOMER0-4430	b4752
G7026		ECK1878	yecT	42.26883		G7026-MONOMER	b1877
G7035		ECK1903	yecR	42.834362		G7035-MONOMER	b1904
G7019		ECK1870	yecN	42.059723		G7019-MONOMER	b1869
G7025	yecL	ECK1876	yecM	42.21083		G7025-MONOMER	b1875
G0-10455		ECK1901	yecJ	42.81896		MONOMER0-2677	b4537
G7036		ECK1905	yecH	42.85653		G7036-MONOMER	b1906
EG12861		ECK1914	yecF	42.99801		EG12861-MONOMER	b1915
EG12379		ECK1869	yecE	42.04096		EG12379-MONOMER	b1868
EG12378		ECK1868	yecD	42.028828		EG12378-MONOMER	b1867
EG11139		ECK1907	yecA	42.89322		EG11139-MONOMER	b1908
G7013		ECK1841	yebZ	41.444706		G7013-MONOMER	b1840
G7012		ECK1840	yebY	41.437077		G7012-MONOMER	b1839
G7010		ECK1836	yebW	41.41028		G7010-MONOMER	b1837
G7009		ECK1835	yebV	41.40293		G7009-MONOMER	b1836
G7004		ECK1827	yebQ	41.155087		B1828-MONOMER	b1828
G7001		ECK1823	yebO	41.11168		G7001-MONOMER	b1825
EG12860	hexR(P.a.)	ECK1854	yebK	41.723335		EG12860-MONOMER	b1853
EG11808		ECK1849	yebG	41.589867		EG11808-MONOMER	b1848
EG11807		ECK1848	yebF	41.580757		EG11807-MONOMER	b1847
EG11806		ECK1847	yebE	41.559513		EG11806-MONOMER	b1846
EG11137		ECK1865	yebC	41.955128		EG11137-MONOMER	b1864
EG11136		ECK1863	yebB	41.930138		EG11136-MONOMER	b1862
G6990		ECK1804	yeaY	40.717205		G6990-MONOMER	b1806
G6989		ECK1801	yeaX	40.628746		G6989-MONOMER	b1803
G6988		ECK1800	yeaW	40.603325		G6988-MONOMER	b1802
G6987		ECK1799	yeaV	40.571507		YEAV-MONOMER	b1801
G6983		ECK1795	yeaR	40.493965		G6983-MONOMER	b1797
G6981		ECK1793	yeaQ	40.481426		G6981-MONOMER	b1795
G6978		ECK1790	yeaO	40.43623		G6978-MONOMER	b1792
G6975		ECK1787	yeaL	40.381138		G6975-MONOMER	b1789
G6973		ECK1785	yeaK	40.36438		G6973-MONOMER	b1787
G6970		ECK1782	yeaH	40.264866		G6970-MONOMER	b1784
G6969		ECK1781	yeaG	40.220768		G6969-MONOMER	b1783
G6967		ECK1779	yeaE	40.174965		G6967-MONOMER	b1781
G6966	yzzQ	ECK1778	yeaD	40.154884		G6966-MONOMER	b1780
G6964		ECK1775	yeaC	40.10861		G6964-MONOMER	b1777
G6947		ECK1750	ydjZ	39.5292		G6947-MONOMER	b1752
G6946		ECK1749	ydjY	39.514294		G6946-MONOMER	b1751
G6945		ECK1748	ydjX	39.49889		G6945-MONOMER	b1750
G6935		ECK1728	ydjO	39.044914		G6935-MONOMER	b1730
G6933		ECK1726	ydjM	38.999283		G6933-MONOMER	b1728
G6963		ECK1774	ydjL	40.077454		G6963-MONOMER	b1776
G6962		ECK1773	ydjK	40.04716		B1775-MONOMER	b1775
G6961		ECK1772	ydjJ	40.02433		G6961-MONOMER	b1774
G6960		ECK1771	ydjI	40.005867		G6960-MONOMER	b1773
G6959		ECK1770	ydjH	39.985355		G6959-MONOMER	b1772
G6958		ECK1769	ydjG	39.964027		G6958-MONOMER	b1771
G6957		ECK1768	ydjF	39.944744		G6957-MONOMER	b1770
EG12369		ECK1767	ydjE	39.912968		YDJE-MONOMER	b1769
EG11134		ECK1763	ydjA	39.816105		EG11134-MONOMER	b1765
G6929		ECK1722	ydiZ	38.93872		G6929-MONOMER	b1724
G6928		ECK1720	ydiY	38.89402		G6928-MONOMER	b1722
G6924		ECK1704	ydiU	38.55972		G6924-MONOMER	b1706
G6923		ECK1698	ydiT	38.406174		G6923-MONOMER	b1700
G6922		ECK1697	ydiS	38.378468		G6922-MONOMER	b1699
G6921		ECK1696	ydiR	38.357056		G6921-MONOMER	b1698
G6920		ECK1695	ydiQ	38.340164		G6920-MONOMER	b1697
G6919		ECK1694	ydiP	38.31373		G6919-MONOMER	b1696
G6918		ECK1693	ydiO	38.288006		G6918-MONOMER	b1695
G6917		ECK1689	ydiN	38.18709		B1691-MONOMER	b1691
G6916		ECK1688	ydiM	38.156048		B1690-MONOMER	b1690
G6915		ECK1687	ydiL	38.146225		G6915-MONOMER	b1689
G6914		ECK1685	ydiK	38.113026		G6914-MONOMER	b1688
G6913		ECK1684	ydiJ	38.038807		G6913-MONOMER	b1687
G6911		ECK1682	ydiH	38.023834		G6911-MONOMER	b1685
EG12432		ECK1692	ydiF	38.25334		EG12432-MONOMER	b1694
EG12391		ECK1703	ydiE	38.55552		EG12391-MONOMER	b1705
EG11234		ECK1690	ydiB	38.214607		EG11234-MONOMER	b1692
G6902		ECK1670	ydhY	37.78506		G6902-MONOMER	b1674
G6899		ECK1667	ydhX	37.709526		G6899-MONOMER	b1671
G6900		ECK1668	ydhW	37.725296		G6900-MONOMER	b1672
G6901		ECK1669	ydhV	37.739323		G6901-MONOMER	b1673
G6898		ECK1666	ydhU	37.692677		G6898-MONOMER	b1670
G6897		ECK1665	ydhT	37.675102		G6897-MONOMER	b1669
G6896		ECK1664	ydhS	37.640285		G6896-MONOMER	b1668
G6895		ECK1663	ydhR	37.631		G6895-MONOMER	b1667
G6894		ECK1660	ydhQ	37.591595		G6894-MONOMER	b1664
G6893		ECK1653	ydhP	37.403084		B1657-MONOMER	b1657
G6888		ECK1644	ydhL	37.178165		G6888-MONOMER	b1648
G6885		ECK1641	ydhK	37.101467		G6885-MONOMER	b1645
G6884		ECK1640	ydhJ	37.083004		G6884-MONOMER	b1644
G6883		ECK1639	ydhI	37.077858		G6883-MONOMER	b1643
G6887		ECK1643	ydhF	37.157803		G6887-MONOMER	b1647
EG12141		ECK1656	ydhC	37.484734		YDHC-MONOMER	b1660
EG12140		ECK1655	ydhB	37.462223		EG12140-MONOMER	b1659
G0-17023		ECK4634	ydgV	36.0563		MONOMER0-4489	b4777
G0-10593		ECK4410	ydgU	36.016853		MONOMER0-2821	b4601
G6870	rsxP	ECK1622	ydgK	36.737995		G6870-MONOMER	b1626
G6868		ECK1619	ydgJ	36.695297		G6868-MONOMER	b1624
G6861	arcD	ECK1600	ydgI	36.184467		ARCD-MONOMER	b1605
G6860		ECK1599	ydgH	36.160122		G6860-MONOMER	b1604
G6856		ECK1593	ydgD	36.020798		G6856-MONOMER	b1598
G6863		ECK1602	ydgC	36.23053		G6863-MONOMER	b1607
G6865		ECK1609	ydgA	36.406265		G6865-MONOMER	b1614
G6815		ECK1534	ydfZ	35.099895		G6815-MONOMER	b1541
G6835		ECK1562	ydfX	35.49051		G6835-MONOMER	b1568
G6834	intK	ECK1561	ydfW	35.486805		G6834-MONOMER	b1567
G6832		ECK1559	ydfV	35.459293		G6832-MONOMER	b1565
G6831		ECK1554	ydfU	35.402374		G6831-MONOMER	b1560
G6830	quuQ	ECK1553	ydfT	35.38587		G6830-MONOMER	b1559
G6828		ECK1549	ydfR	35.333412		G6828-MONOMER	b1555
G6822		ECK1543	ydfO	35.268627		G6822-MONOMER	b1549
G6818		ECK1537	ydfK	35.18299		G6818-MONOMER	b1544
G6817	ydfJ_2	ECK1536	ydfJ	35.138397		B1543-MONOMER	b1543
G6816		ECK1535	ydfI	35.105022		G6816-MONOMER	b1542
G6814		ECK1533	ydfH	35.081303		G6814-MONOMER	b1540
EG12345		ECK1532	ydfG	35.063316		EG12345-MONOMER	b1539
EG11304		ECK1571	ydfE	35.54937		EG11304-MONOMER	b1577
EG11303		ECK1570	ydfD	35.54325		EG11303-MONOMER	b1576
EG11302		ECK1567	ydfC	35.52233		EG11302-MONOMER	b1573
EG11301		ECK1566	ydfB	35.518925		EG11301-MONOMER	b1572
EG11300		ECK1565	ydfA	35.515545		EG11300-MONOMER	b1571
G6795	fmlC	ECK1498	ydeT	34.230335		G6795-MONOMER	b1505
G6794		ECK1497	ydeS	34.218616		G6794-MONOMER	b1504
G6793		ECK1496	ydeR	34.2075		G6793-MONOMER	b1503
G6792		ECK1495	ydeQ	34.186535		G6792-MONOMER	b1502
G6791		ECK1494	ydeP	34.13024		G6791-MONOMER	b1501
G6789		ECK1493	ydeO	34.102642		G6789-MONOMER	b1499
G6788		ECK1492	ydeN	34.057747		G6788-MONOMER	b1498
G6787		ECK1491	ydeM	34.031696		G6787-MONOMER	b1497
EG11645		ECK1530	ydeJ	35.004196		EG11645-MONOMER	b1537
EG11644		ECK1529	ydeI	34.989803		EG11644-MONOMER	b1536
EG11640	ydeF	ECK1527	ydeE	34.93006		YDEF-MONOMER	b1534
EG11636		ECK1521	ydeA	34.837337		YDEA-MONOMER	b1528
G0-16740		ECK4603	yddY	33.763367		MONOMER0-4423	b4746
G6774		ECK1471	yddM	33.444946		G6774-MONOMER	b1477
G6773		ECK1466	yddL	33.301464		G6773-MONOMER	b1472
G6772		ECK1465	yddK	33.28035		G6772-MONOMER	b1471
G6771		ECK1464	yddJ	33.272293		G6771-MONOMER	b1470
G6769		ECK1456	yddH	33.033108		G6769-MONOMER	b1462
EG12713		ECK1467	yddG	33.313313		EG12713-MONOMER	b1473
EG11825		ECK1458	yddE	33.06937		EG11825-MONOMER	b1464
EG11743		ECK1489	yddB	33.937206		EG11743-MONOMER	b1495
EG11742		ECK1490	yddA	33.98913		YDDA-MONOMER	b1496
G6758		ECK1441	ydcZ	32.701332		G6758-MONOMER	b1447
G6757		ECK1440	ydcY	32.69629		G6757-MONOMER	b1446
G6754		ECK1437	ydcV	32.634117		YDCV-MONOMER	b1443
G6753		ECK1436	ydcU	32.614056		YDCU-MONOMER	b1442
G6752		ECK1435	ydcT	32.59221		YDCT-MONOMER	b1441
G6751		ECK1434	ydcS	32.567154		YDCS-MONOMER	b1440
G6750		ECK1433	ydcR	32.531586		G6750-MONOMER	b1439
G6744		ECK1427	ydcO	32.421753		B1433-MONOMER	b1433
G6742		ECK1424	ydcL	32.369015		G6742-MONOMER	b1431
G6741		ECK1421	ydcK	32.30464		G6741-MONOMER	b1428
